"player","season","fouls_drawn_to_shot","def_action_to_shot","goal_creating_action","comp_live_pass_to_goal","comp_dead_pass_to_goal","takeon_to_goal","shot_to_goal_shot","fouls_drawn_to_goal","def_action_to_goal","carries","tot_carry_distance","prog_carry_distance","prog_carries","carries_into_final_third","carries_into_box","fail_to_control","lose_control_due_to_tkl","successfully_rec_pass"
"Fernando Forestieri","2019-2020",4,2,2,1,0,0,0,1,0,267,1402,627,15,10,8,26,18,271
"Adama Soumaoro","2019-2020",0,0,1,0,0,0,1,0,0,234,1014,421,2,0,0,3,0,292
"Youssef Maleh","2019-2020",4,0,7,5,0,0,1,1,0,585,3245,1710,43,39,7,46,37,647
"Kevin Strootman","2019-2020",0,0,5,5,0,0,0,0,0,656,2884,1524,21,17,1,12,2,743
"Bouna Sarr","2019-2020",5,2,7,5,1,0,0,1,0,1057,6562,3342,103,81,12,52,32,1059
"Tanguy Nianzou","2019-2020",1,0,0,0,0,0,0,0,0,225,959,582,0,3,0,3,2,296
"Eric Maxim Choupo-Moting","2019-2020",4,0,4,2,0,1,1,0,0,89,534,238,8,5,3,15,7,125
"Jude Bellingham","2019-2020",6,3,7,3,2,0,2,0,0,797,4880,2388,63,43,17,63,59,897
"Thomas Meunier","2019-2020",0,0,2,2,0,0,0,0,0,513,2796,1559,49,32,7,9,4,667
"Benjamin Henrichs","2019-2020",2,2,0,0,0,0,0,0,0,363,1853,1034,22,20,1,9,8,389
"Baptiste Santamaria","2019-2020",4,3,3,2,0,0,0,1,0,703,3647,1979,36,22,5,33,24,993
"Lucas Tousart","2019-2020",2,3,4,4,0,0,0,0,0,668,3517,1652,15,16,0,31,9,757
"Hamza Mendyl","2019-2020",0,0,2,1,0,0,1,0,0,500,3198,1791,55,40,6,24,5,601
"Mike van der Hoorn","2019-2020",1,0,1,1,0,0,0,0,0,951,5802,4151,11,7,0,9,1,1096
"Chadrac Akolo","2019-2020",1,1,2,1,0,0,1,0,0,168,688,340,11,14,5,14,15,198
"Anastasios Donis","2019-2020",0,0,0,0,0,0,0,0,0,125,1331,585,26,16,6,14,7,137
"Manu Koné","2019-2020",1,0,1,1,0,0,0,0,0,280,1650,728,14,14,0,17,6,309
"Robert Glatzel","2019-2020",16,0,4,1,0,1,1,1,0,386,1854,601,20,15,10,75,46,504
"William Saliba","2020-2021",0,0,1,1,0,0,0,0,0,1145,7438,4885,36,3,0,12,3,1213
"Maxwel Cornet","2020-2021",6,1,13,10,0,0,1,2,0,1069,5008,2862,73,51,15,36,15,1210
"Nathan Collins","2020-2021",0,0,1,1,0,0,0,0,0,552,2256,1098,22,9,8,27,9,680
"Connor Roberts","2020-2021",4,1,13,10,3,0,0,0,0,1354,5309,2618,43,52,6,35,22,1569
"Michael Olise","2020-2021",9,0,18,9,7,1,1,0,0,1365,8535,4355,121,104,20,88,36,1611
"Moise Kean","2020-2021",2,0,1,1,0,0,0,0,0,278,1685,796,31,17,11,43,31,351
"Boubakary Soumaré","2020-2021",0,1,5,5,0,0,0,0,0,1124,5572,2643,29,27,0,21,22,1330
"Sheyi Ojo","2020-2021",5,2,12,8,0,1,1,1,1,576,4525,1930,69,40,18,72,24,610
"Sepp van den Berg","2020-2021",0,0,0,0,0,0,0,0,0,267,1103,510,10,9,0,17,11,275
"Pierre Lees-Melou","2020-2021",3,2,5,4,0,0,1,0,0,840,4130,2063,38,35,2,25,20,1034
"Jordan Hugill","2020-2021",0,1,1,0,0,0,1,0,0,113,483,115,6,2,3,30,15,157
"Sam McCallum","2020-2021",8,1,6,4,1,0,0,1,0,885,4607,2108,59,30,7,52,10,979
"Onel Hernández","2020-2021",0,0,0,0,0,0,0,0,0,166,1149,550,25,8,15,21,18,210
"Adam Armstrong","2020-2021",9,1,13,9,0,2,2,0,0,792,5132,2260,104,70,55,106,47,972
"Romain Perraud","2020-2021",5,0,15,13,1,1,0,0,0,1341,7162,3961,107,64,13,32,18,1442
"Ashley Fletcher","2020-2021",0,0,0,0,0,0,0,0,0,73,239,109,3,2,1,19,0,125
"Andre Gray","2020-2021",0,1,4,2,0,0,1,0,1,183,751,260,11,6,7,36,11,255
"Domingos Quina","2020-2021",3,0,1,0,1,0,0,0,0,300,1465,632,12,15,7,29,20,325
"Philip Zinckernagel","2020-2021",2,0,5,3,1,0,1,0,0,274,1426,670,23,26,6,37,15,345
"Jean-Clair Todibo","2020-2021",0,0,0,0,0,0,0,0,0,941,5483,3110,13,6,1,13,4,936
"Eduardo Camavinga","2020-2021",8,1,5,2,0,0,2,1,0,1211,7108,3957,85,71,13,63,25,1480
"Ibrahim Amadou","2020-2021",0,1,4,3,0,0,1,0,0,477,1929,898,14,9,3,14,17,534
"Rony Lopes","2020-2021",0,1,5,4,0,1,0,0,0,585,3685,1752,55,43,20,52,23,705
"Boulaye Dia","2020-2021",7,1,9,1,0,5,2,1,0,555,3576,1733,68,39,36,87,53,668
