,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,
Rk,Player,Gls,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
129,Yerson Mosquera,2,"1,229",2023-2024,22,co COL,Villarreal,es La Liga,16,"1,229",13.7,14,2,1,2,1,3,2,0,0,0,DF
130,Rubén Duarte,2,"1,878",2023-2024,27,es ESP,Alavés,es La Liga,28,"1,878",20.9,21,7,6,2,1,3,2,0,0,0,DF
131,Nahuel Molina,2,"1,852",2023-2024,25,ar ARG,Atlético Madrid,es La Liga,30,"1,852",20.6,19,11,2,2,3,5,2,0,0,0,DF
132,Ezequiel Ávila,2,"1,162",2023-2024,29,ar ARG,2 Teams,es La Liga,23,"1,162",12.9,14,9,0,2,3,5,2,0,0,0,"FW,MF"
133,Juanmi Latasa,2,"1,555",2023-2024,22,es ESP,Getafe,es La Liga,32,"1,555",17.3,15,17,4,2,0,2,2,0,0,0,FW
134,Guido Rodríguez,2,"1,846",2023-2024,29,ar ARG,Betis,es La Liga,24,"1,846",20.5,22,2,0,2,0,2,2,0,0,0,MF
135,Unai Gómez,2,875,2023-2024,20,es ESP,Athletic Club,es La Liga,25,875,9.7,9,16,12,2,0,2,2,0,0,0,MF
136,Jorge de Frutos,2,"1,549",2023-2024,26,es ESP,Rayo Vallecano,es La Liga,36,"1,549",17.2,14,22,1,2,0,2,2,0,0,0,"FW,MF"
137,Juan Herzog,2,292,2023-2024,20,es ESP,Las Palmas,es La Liga,4,292,3.2,3,1,17,2,0,2,2,0,0,0,DF
138,José Arnaiz,2,929,2023-2024,28,es ESP,Osasuna,es La Liga,26,929,10.3,9,17,8,2,1,3,2,0,0,0,"FW,MF"
139,Édgar González,2,"2,522",2023-2024,26,es ESP,Almería,es La Liga,31,"2,522",28,30,1,1,2,0,2,2,0,0,0,"DF,MF"
140,Valery Fernández,2,506,2023-2024,23,es ESP,Girona,es La Liga,27,506,5.6,2,25,10,2,0,2,2,0,0,0,"MF,FW"
141,Alex Baena,2,"2,579",2023-2024,22,es ESP,Villarreal,es La Liga,34,"2,579",28.7,33,1,0,2,14,16,2,0,1,1,"MF,FW"
142,Asier Villalibre,2,513,2023-2024,25,es ESP,Athletic Club,es La Liga,18,513,5.7,4,14,20,2,1,3,2,0,0,0,FW
143,Santi Comesaña,2,"1,653",2023-2024,26,es ESP,Villarreal,es La Liga,27,"1,653",18.4,20,7,6,2,0,2,2,0,0,0,MF
144,Axel Witsel,2,"2,783",2023-2024,34,be BEL,Atlético Madrid,es La Liga,35,"2,783",30.9,30,5,1,2,0,2,2,0,0,0,DF
145,Luka Modrić,2,"1,688",2023-2024,37,hr CRO,Real Madrid,es La Liga,32,"1,688",18.8,18,14,5,2,6,8,2,0,0,0,MF
146,Bruno Méndez,2,"1,333",2023-2024,23,uy URU,Granada,es La Liga,17,"1,333",14.8,15,2,1,2,0,2,2,0,0,0,DF
147,Dani Rodríguez,2,"2,615",2023-2024,35,es ESP,Mallorca,es La Liga,36,"2,615",29.1,31,5,1,2,4,6,2,0,0,0,MF
148,Aimar Oroz,2,"2,339",2023-2024,21,es ESP,Osasuna,es La Liga,33,"2,339",26,26,7,0,2,1,3,1,1,1,0,MF
149,Miguel Gutiérrez,2,"3,032",2023-2024,22,es ESP,Girona,es La Liga,35,"3,032",33.7,35,0,1,2,7,9,2,0,0,0,DF
150,Gastón Álvarez,2,"2,537",2023-2024,23,uy URU,Getafe,es La Liga,34,"2,537",28.2,29,5,2,2,0,2,2,0,0,0,DF
151,Ivan Rakitić,2,"1,425",2023-2024,35,hr CRO,Sevilla,es La Liga,18,"1,425",15.8,16,2,2,2,1,3,2,0,0,0,MF
152,Assane Diao,2,"1,048",2023-2024,17,es ESP,Betis,es La Liga,18,"1,048",11.6,13,5,11,2,0,2,2,0,0,0,FW
153,Pejiño,2,504,2023-2024,27,es ESP,Las Palmas,es La Liga,17,504,5.6,6,11,15,2,0,2,2,0,0,0,FW
154,Sheraldo Becker,2,771,2023-2024,28,sr SUR,Real Sociedad,es La Liga,15,771,8.6,8,7,1,2,2,4,2,0,0,0,"FW,MF"
155,Carlos Vicente,2,"1,114",2023-2024,24,es ESP,Alavés,es La Liga,18,"1,114",12.4,12,6,1,2,4,6,2,0,0,0,FW
156,Robin Le Normand,2,"2,469",2023-2024,26,es ESP,Real Sociedad,es La Liga,29,"2,469",27.4,28,1,6,2,0,2,2,0,0,0,DF
157,Álex Suárez,2,"2,562",2023-2024,30,es ESP,Las Palmas,es La Liga,32,"2,562",28.5,30,2,5,2,0,2,2,0,0,0,DF
158,Aitor Ruibal,2,"1,017",2023-2024,27,es ESP,Betis,es La Liga,18,"1,017",11.3,11,7,13,2,1,3,2,0,0,0,"DF,FW"
159,Érik Lamela,2,463,2023-2024,31,ar ARG,Sevilla,es La Liga,13,463,5.1,5,8,7,2,0,2,2,0,0,0,"FW,MF"
160,Facundo Pellistri,2,"1,232",2023-2024,21,uy URU,Granada,es La Liga,15,"1,232",13.7,14,1,0,2,1,3,2,0,0,0,"MF,FW"
161,Ilias Akhomach,2,"1,511",2023-2024,19,ma MAR,Villarreal,es La Liga,31,"1,511",16.8,17,14,6,2,2,4,2,0,0,0,"MF,FW"
162,Rafa Mir,2,391,2023-2024,26,es ESP,Sevilla,es La Liga,15,391,4.3,3,12,8,2,0,2,2,0,0,0,"FW,MF"
163,João Cancelo,2,"2,503",2023-2024,29,pt POR,Barcelona,es La Liga,32,"2,503",27.8,29,3,0,2,4,6,2,0,0,0,DF
164,Iker Muniain,2,594,2023-2024,30,es ESP,Athletic Club,es La Liga,20,594,6.6,5,15,15,2,0,2,2,0,0,0,"MF,FW"
165,Reinildo Mandava,2,731,2023-2024,29,mz MOZ,Atlético Madrid,es La Liga,16,731,8.1,7,9,8,2,1,3,2,0,0,0,DF
