,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,
Rk,Player,Gls,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
518,Luca de la Torre,0,"1,481",2022-2023,24,us USA,Celta Vigo,es La Liga,28,"1,481",16.5,16,12,6,0,2,2,0,0,0,0,MF
519,Nabil Touaizi,0,3,2022-2023,21,ma MAR,Espanyol,es La Liga,1,3,0,0,1,2,0,0,0,0,0,0,0,MF
520,Pol Lozano,0,17,2022-2023,22,es ESP,Espanyol,es La Liga,4,17,0.2,0,4,7,0,0,0,0,0,0,0,MF
521,Fran Beltrán,0,"2,855",2022-2023,23,es ESP,Celta Vigo,es La Liga,36,"2,855",31.7,33,3,0,0,2,2,0,0,0,0,MF
522,Darwin Machís,0,599,2022-2023,29,ve VEN,Valladolid,es La Liga,11,599,6.7,7,4,2,0,1,1,0,0,0,0,FW
523,Santiago Bueno,0,"3,010",2022-2023,23,uy URU,Girona,es La Liga,34,"3,010",33.4,34,0,0,0,1,1,0,0,0,0,DF
524,Kevin Vázquez,0,441,2022-2023,29,es ESP,Celta Vigo,es La Liga,10,441,4.9,6,4,28,0,0,0,0,0,0,0,"DF,MF"
525,Fede San Emeterio,0,"1,844",2022-2023,25,es ESP,Cádiz,es La Liga,33,"1,844",20.5,24,9,0,0,1,1,0,0,0,0,MF
526,Federico Fernández,0,90,2022-2023,33,ar ARG,Elche,es La Liga,1,90,1,1,0,4,0,0,0,0,0,0,0,DF
527,Martin Valjent,0,"2,656",2022-2023,26,sk SVK,Mallorca,es La Liga,30,"2,656",29.5,30,0,2,0,0,0,0,0,0,0,DF
528,Ilaix Moriba,0,"1,011",2022-2023,19,gn GUI,Valencia,es La Liga,24,"1,011",11.2,10,14,5,0,2,2,0,0,0,0,MF
529,Stefan Savić,0,"1,943",2022-2023,31,me MNE,Atlético Madrid,es La Liga,22,"1,943",21.6,22,0,1,0,0,0,0,0,0,0,DF
